Akt1	Gsk3b
Inhbb	Acvr1c
Pou5f1	Parp1
Cdc73	Ctr9
Pou5f1	Fgf4
Pou5f1	Rest
Nr5a2	Zscan10
Esrrb	Klf4
Lyar	Ncl
Nanog	Mta1
Mapk3	Fos
Gatad2a	Gatad2b
Irs1	Pik3cd
Pou5f1	Hcfc1
Acvr1	Bmpr2
Cdk2ap1	Mbd2
Nanog	Smad1
Nanog	Fgf4
Tgfbr1	Smad2
Pou5f1	Tcfap2c
Nanog	Rela
Sumo1	Pou5f1
Pou5f1	Phc1
Pou5f1	Zfp219
Hdac2	Nanog
Hdac2	Pou5f1
Pou5f1	Dhx9
Esrrb	Rbpj
Smad1	Sox2
Smad1	Pou5f1
Nedd4l	Smad3
Nr5a2	Rybp
Sox2	Nr5a2
Lif	Lifr
Pou5f1	Hells
Stat3	Pim3
Zfx	Tcl1
Grb2	Ptpn11
Bmp4	Acvr1
Fgfr1	Pik3cd
Itgb1	Hras1
Suz12	Eed
Pou5f1	Rif1
Pou5f1	Zscan10
Pou5f1	Cubn
Cd44	Stat3
Uhrf1	Dnmt1
Cd44	Ccnd1
Trp53	Cdkn1a
Sall4	Mta2
Nr5a2	Zfp57
Stat3	Eed
Smad3	Cdk2ap1
Kdm3a	Zfp57
Esrrb	Pou5f1
Tcfcp2l1	Pou5f1
Casp3	Dffa
Nr5a2	Tbx3
Ewsr1	Pou5f1
Il6st	Stat3
Nanog	Tbx3
Pou5f1	Tcfe3
Stat3	Phc1
Dkk1	Lrp5
Ctnnb1	Nr5a2
Klf5	Mta2
Tgfb1	Acvr1c
Nr5a2	Rif1
Pou5f1	Ssrp1
Smad1	Kdm6b
Pou5f1	Mta1
Esrrb	Sox2
Pou5f1	Dkk1
Nodal	Tgfbr1
Trp53	Nanog
Ctr9	Klf4
Sox2	Rybp
Stat3	Aes
Yy1	Sox2
Carm1	Pou5f1
Sox2	Sox2
Carm1	Nanog
Sox2	Nanog
Nr5a2	Tle4
Carm1	Sox2
Sox2	Pou5f1
Wnt3a	Fzd1
Pou5f1	Cad
Pou5f1	Utf1
Nanog	Esrrb
Nanog	Gata6
Sox2	Zscan10
Pik3cd	Frap1
Nr5a2	Phc1
Nanog	Nr0b1
Pik3cd	Akt1
Ep400	Kat5
Ep300	Cd44
Ezh2	Tbx3
Stat3	Ocln
Klf5	Esrrb
Uhrf1	Dnmt3a
Lifr	Jak1
Pias4	Pou5f1
Stat3	Tle4
Parp1	Fgf4
Tcf3	Id1
Hdac2	Mta2
Esrrb	Phc1
Ezh2	Jarid2
Pou5f1	Rybp
Sox2	Zic3
Leo1	Ctr9
Trim28	Myc
Ncoa1	Stat3
Pou5f1	Hira
Pou5f1	Gatad2b
Nanog	Dkk1
Hells	Dnmt3a
Esrrb	Tcfcp2l1
Nodal	Acvr1b
Pou5f1	Klf2
Esrrb	Dkk1
